date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:16	47404/47404	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2015:42:16%20GMT	http://dreamguys.co.in/preclinic/template/index.html	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/index.html	(from )
21:12:16	208/208	---M-Z	200	added ('OK')	text/plain	etag:%22219-592f51cf5c587-gzip%22	http://dreamguys.co.in/robots.txt		(from )
21:12:17	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%221536-58047cd554e4f%22	http://dreamguys.co.in/preclinic/template/assets/img/favicon.ico	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/assets/img/favicon.ico	(from http://dreamguys.co.in/preclinic/template/index.html)
21:12:17	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%222565e-580479918eff5-gzip%22	http://dreamguys.co.in/preclinic/template/assets/css/bootstrap.min.css	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/assets/css/bootstrap.min.css	(from http://dreamguys.co.in/preclinic/template/index.html)
21:12:18	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-58047997e9d1f-gzip%22	http://dreamguys.co.in/preclinic/template/assets/css/font-awesome.min.css	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/assets/css/font-awesome.min.css	(from http://dreamguys.co.in/preclinic/template/index.html)
21:12:18	86575/86575	---M-Z	200	added ('OK')	text/css	etag:%221522f-58120d732e963-gzip%22	http://dreamguys.co.in/preclinic/template/assets/css/style.css	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/assets/css/style.css	(from http://dreamguys.co.in/preclinic/template/index.html)
21:12:19	9632/9632	---M--	200	added ('OK')	image/png	etag:%2225a0-58047cd660b32%22	http://dreamguys.co.in/preclinic/template/assets/img/logo.png	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/assets/img/logo.png	(from http://dreamguys.co.in/preclinic/template/index.html)
21:12:19	37412/37412	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2015:42:19%20GMT	http://dreamguys.co.in/preclinic/template/activities.html	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/activities.html	(from http://dreamguys.co.in/preclinic/template/index.html)
21:12:19	1112/1112	---M--	200	added ('OK')	image/jpeg	etag:%22458-58047cde381cb%22	http://dreamguys.co.in/preclinic/template/assets/img/user.jpg	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/assets/img/user.jpg	(from http://dreamguys.co.in/preclinic/template/index.html)
21:12:20	39363/39363	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2015:42:20%20GMT	http://dreamguys.co.in/preclinic/template/profile.html	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/profile.html	(from http://dreamguys.co.in/preclinic/template/index.html)
21:12:20	41554/41554	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2015:42:20%20GMT	http://dreamguys.co.in/preclinic/template/edit-profile.html	F:/SEMESTER%204/CS3022%20-%20Software%20Engineering/Medicare/medicare/dreamguys.co.in/preclinic/template/edit-profile.html	(from http://dreamguys.co.in/preclinic/template/index.html)
